商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
华硕TUF GAMING B760M-PLUS WIFI D4 重炮手主板  CPU 14600KF/14700KF（Intel B760/LGA 1700）,1219.00,华硕京东自营旗舰店,【重炮手WIFID4】B760M,10万+,jfs/t1/179419/35/31046/109862/63b7bca3F9902d146/d8e891b8795c2480.jpg,1000000225,15万+人加购;90万+人浏览;用料扎实;重炮手,100041216184,10万+,100041216184
铭瑄（MAXSUN）MS-挑战者B760M D5 WiFi电脑游戏主板 DDR5 CPU 12600KF/13400F/14600KF（Intel B760/LGA 1700）,649.00,铭瑄京东自营旗舰店,【挑战者】B760M D5 WiFi,1万+,jfs/t1/93139/16/39654/101842/65f930e0F5c3922c1/9236001c931cc667.jpg,1000094211,紧凑设计;LGA 1700;快速响应;稳定性能;高效散热;兼容性好;支持DDR5;强韧连接;NVMe协议;Wi-Fi 6,100098790522,1万+,100098790522
华硕TUF GAMING B550M-PLUS WIFI II 重炮手主板支持CPU 5700X/5700G/5600（AMD B550/socket AM4）,839.00,华硕京东自营旗舰店,【重炮手WIFI】B550M II,10万+,jfs/t1/259491/1/685/122529/67650b6fF958e4dcf/6ab222d54d86369c.jpg,1000000225,性能稳定;多元接口;高效散热;8+2代电模组,100016125117,20万+,100016125117
七彩虹（Colorful）BATTLE-AX B860M-P WIFI V20 DDR5战斧主板 支持支持225/230/245K（Intel B860/LGA 1851）,679.00,七彩虹京东自营旗舰店,【战斧M-P D5】B860M  ,2万+,jfs/t1/339332/3/9040/175484/68c12056F82ed4d03/36d3bf4ff94ca990.jpg,1000000267,双M.2固态;合金加固卡槽;7相供电;PCIe 5.0;ARGB灯效;M.2接口;DDR5内存;双M.2接口;Wi-Fi 6;NVMe协议,100207623961,4万+,100207623961
华硕TUF GAMING B760M-PLUS WIFI II重炮手二代 DDR5 CPU 14600KF/14700KF（Intel B760/LGA 1700）,1289.00,华硕京东自营旗舰店,【重炮手WIFID5】B760M,5万+,jfs/t1/233680/30/12928/126467/65aa1906F72d5c545/8f5efa97e28b6406.jpg,1000000225,15万+店铺粉丝浏览;50万+人加购;1万+人收藏,100088789712,10万+,100088789712
微星（MSI）B650M GAMING WIFI小白龙主板 支持CPU 7800X3D/9600X/9700X/9500F/7500F (AMD B650/AM5接口）,829.00,微星京东自营旗舰店,【小白龙】B650M WIFI,2万+,jfs/t20280429/424408/12/18106/141090/69f30cb4Ffef10709/0a02320320ad7d9f.jpg,1000000266,高性能;固态支持;AI优化;扩展式散热片,100088654891,5万+,100088654891
精粤B450M PRO ARGB主板AM4锐龙DDR4内存台式电脑游戏主板R5 5600/5600GT/5700G AMD B450/Socket AM4,304.92,精粤京东自营旗舰店,精粤B450M PRO ARGB,5000+,jfs/t20280105/380096/13/19999/153468/695b1306F65696d3b/0a02320320236a6d.jpg,1000600299,M.2接口;WiFi接口;DDR4内存;PCIe x8,100215889080,1万+,100215889080
七彩虹（Colorful）BATTLE-AX B760M-T WIFI V21A  DDR4战斧主板支持 CPU12600KF/13490F/14400F(Intel B760/LGA1700),599.00,七彩虹京东自营旗舰店,【战斧M-T WIFI D4】B760M,2万+,jfs/t1/307286/20/19609/193145/6881de33Ffe70db04/a94b936e34e96ab1.png,1000000267,支持WIFI6;三年质保;千兆网口;紧凑设计;M.2接口;RGB灯效;Wi-Fi 6;NVMe协议,100196010360,4万+,100196010360
七彩虹（Colorful）BATTLE-AX H610M-E WIFI V21 战斧主板 支持12490F/13490F/13100 (Intel H610/LGA 1700),459.00,七彩虹京东自营旗舰店,【冰霜战斧M-E WIFI】H610M,2万+,jfs/t1/315628/20/17551/179978/687890e5F1bd42f60/7b4bd9110c8589b5.png,1000000267,2千+人已买;7千+店铺粉丝浏览;3万+人加购,100152583048,4万+,100152583048
华硕（ASUS）PRIME B760M-K D4 主板 支持 CPU 13600KF/13400F（Intel B760/LGA 1700）,689.00,华硕京东自营旗舰店,PRIME B760M-K D4,10万+,jfs/t1/166174/5/30403/148559/63b39519F5d7857e5/0860cdf7d2ee92fa.jpg,1000000225,性能优越;高强度显卡插槽;高效兼容;扩展方便,100051301795,10万+,100051301795
微星（MSI）B550M-A PRO电脑主板 支持CPU 5600/5600X3D/5700X3D/5500X3D,479.00,微星京东自营旗舰店,【DDR4】B550M-A,2万+,jfs/t20280429/425079/9/14302/166035/69f30cb3Fb3a7f957/0a023203209a5983.jpg,1000000266,兼容性强;高速M.2接口;高速传输;支持ARGB,100196076782,5万+,100196076782
微星（MSI）B760M BOMBER DDR4爆破弹电脑主板 支持CPU 13490F/14600KF/14490F/12490F(INTEL B760/LGA 1700),649.00,微星京东自营旗舰店,【爆破弹D4】B760M,5万+,jfs/t20280429/424181/16/19578/167708/69f30cb4F76361ce6/0a02320320501dd6.jpg,1000000266,高效散热系统;双M.2接口;丰富接口;卓越稳定性,100051301777,7万+,100051301777
七彩虹（Colorful） COLORFIRE B760M-MEOW WIFI D5橘猫 主板DDR5 支持CPU14600KF/12700KF（Intel B760/LGA 1700）,899.00,七彩虹京东自营旗舰店,【橘影橙 WIFI D5】B760M橘猫,2万+,jfs/t1/105332/4/44289/177215/64f37546F71ce2aee/3a9d7d9bcb2d2645.jpg,1000000267,600+人已买;支持WIFI6;9千+店铺粉丝浏览,100064366691,2万+,100064366691
华硕B760M-AYW WIFI D4 II 哎呦喂主板 支持 CPU 13600KF/13400F12600KF（Intel B760/LGA 1700） ,839.00,华硕京东自营旗舰店,【哎呦喂D4】B760M 2代,10万+,jfs/t1/312529/27/409/119585/6822db33F41c18f05/b9f3d7bd81256f33.jpg,1000000225,RGB灯效;Wi-Fi 6;紧凑设计;高性价比,100222194128,10万+,100222194128
七彩虹（Colorful）BATTLE-AX B760M-PLUS WIFI V20 DDR4  黑刃主板支持14600KF/12600KF（Intel B760/LGA 1700）,749.00,七彩虹京东自营旗舰店,【黑刃 WIFI D4】B760M,2万+,jfs/t1/417726/21/2299/194470/69d76307Fd481a5cc/00833203209c6432.jpg,1000000267,稳定传输;扩展性强;NVMe协议;强化供电,100126089255,4万+,100126089255
铭瑄（MAXSUN）MS-挑战者B760M 电脑游戏主板支持 CPU 13400F/12400F（Intel B760/LGA 1700）,549.00,铭瑄京东自营旗舰店,【挑战者】B760M D4,1万+,jfs/t1/275841/35/24157/129213/680705e6F870b22d0/187cbcf039edc32f.jpg,1000094211,8+1+1供电;支持ARGB;VRM散热片;紧凑设计;LGA 1700;支持新CPU;游戏优化;高效供电;稳定运行;轻松安装,100041649006,1万+,100041649006
