商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
智国者【AI控温可结冰】手机散热器降温磁吸背夹式平板电竞打游戏专用直播半导体制冷适用苹果华硕小米,59.00,智国者（WITGOER）京东自营旗舰店,【AI控温可结冰】15W丨三档调节,5万+,jfs/t1/397753/7/8762/508367/69a2a73cF97cd178c/00833203209aff2c.png,1000280547,近7日热卖好货;7万+人已买;25万+人加购,100157733913,8万+,100157733913
利民（thermalright）Peerless Assassin 120 SE 逆重力6热管 风冷散热器 双塔逆转双C12C风扇 PA120 SE,142.00,利民Thermalright京东自营旗舰店,PA120 SE ,20万+,jfs/t1/380706/7/3979/69104/693cb6d0F523ea2da/651eb7c0dde62d1d.jpg,1000099731,精工微雕铜底;极速散热;兼容性强;逆重力设计,100026559702,40万+,100026559702
利民（thermalright）Assassin X 120 Refined SE ARGB 风冷散热器 AGHP逆重力4热管 附带硅脂 AX120 R SE ARGB,87.90,利民Thermalright京东自营旗舰店,AX120R SE 青春ARGB版,50万+,jfs/t1/219531/24/45765/73271/6720335dFafe1678d/ed882adff197adfb.jpg,1000099731,穿片工艺;四热管设计;逆重力技术;视觉效果佳,100026951608,60万+,100026951608
九州风神（DEEPCOOL）玄冰400性能版黑色CPU风冷散热器/升级塔体/创新聚风环风扇/热管偏置不挡内存/多平台支持,79.00,九州风神 京东自营旗舰店,玄冰400性能版-全新升级,100万+,jfs/t1/413127/29/942/103173/69cb2b35F3c867be3/0083320320390509.jpg,1000000461,兼容AM4;聚风环扇;不挡内存;热管偏置;升级塔体,100239607703,100万+,100239607703
黑鲨5Pro磁吸手机散热器 游戏直播半导体散热背夹降温神器 适用平板苹果17iPad小米红魔iqoo一加绝区零 京东自营,208.00,黑鲨京东自营官方旗舰店,【低至-20℃】5Pro磁吸版,5万+,jfs/t1/413129/16/19092/96252/69d4d365F5d691d8b/0083320320daee08.jpg,1000097162,近7日热销商品;95万+人浏览;8万+人已买,100156715107,10万+,100156715107
利民（thermalright）Assassin King 120 SE CPU风冷散热器 AGHP逆重力五热管 支持双平台 S-FDB轴承 AK120 SE,87.00,利民Thermalright京东自营旗舰店,AK120 SE 青春版（5热管））,5万+,jfs/t1/241086/33/21901/78627/6720314cF20f495c8/936fecd92f6ea36f.jpg,1000099731,纯铜镀镍热管;静音运行;五热管散热;逆重力设计,100021425849,10万+,100021425849
利民（thermalright）Assassin X 120 Refined SE PLUS CPU风冷散热器 AGHP逆重力4热管 AX120 R SE PLUS,83.00,利民Thermalright京东自营旗舰店,AX120 R SE PLUS 双风扇,50万+,jfs/t1/235618/40/27956/80203/672031f4F3d40bdff/d9c6b42f97fcaed5.jpg,1000099731,四热管架构;热管镀镍抗氧化;双平台金属扣具;热管直触,100054703748,60万+,100054703748
VENIDER【速降65℃】笔记本散热器游戏本降温神器手提平板电脑桌支架风压式冷风扇适用联想外星人拯救者,158.00,VENIDER京东自营旗舰店,【35000转冰风】运行无声,5万+,jfs/t1/423051/12/8307/318432/69e8217fFe10ceded/0083320320e8ca7a.jpg,1000463501,全包围制冷;6档支架高度;无声散热;便携设计;冷过水冷;35000转高压;多机适用;水冷风扇;风压强劲;二合一用,100119901131,5万+,100119901131
智国者【38W上下出风丨可结冰】手机散热器降温磁吸平板打游戏电竞专用神器背夹直播半导体制冷适用苹果,137.00,智国者（WITGOER）京东自营旗舰店,【上下出风可结冰】38W丨AI控温,1000+,jfs/t1/407150/27/16181/257272/69c51d19Ffd274ece/00834b04b077e5e7.png,1000280547,上下出风;游戏电竞;38W超大功率;电竞专用,100331897552,2000+,100331897552
九州风神（DEEPCOOL）CPU散热器大霜塔V5ARGB附带硅脂风冷6热管散热器电脑配件包含发光散热风扇AG620ARGB,147.00,九州风神 京东自营旗舰店,大霜塔V5ARGB-6热管/双塔,20万+,jfs/t1/411749/24/4707/100811/69cb2b3aF2409f078/00833203205d9b7b.jpg,1000000461,兼容广泛;流线造型;多平台支持;最高性能,689273,30万+,689273
利民（thermalright）Assassin X 120 Refined SE V2 自发光风扇 CPU风冷散热器 AGHP逆重力4热管 AX120 R SE V2,63.80,利民Thermalright京东自营旗舰店,AX120R SE V2,50万+,jfs/t1/104729/29/47075/71716/67203215Ff866e2fe/9c00a87f7935eb28.jpg,1000099731,柔和日蚀光效;pwm风扇调速;高效散热;直触底座;穿片工艺;兼容AM4;四热管技术;逆重力热管;单光设计;自发光风扇,100048306246,60万+,100048306246
美菱无忧嵌451升主动除菌冰箱,3397.00,美菱冰箱京东自营旗舰店,,200+,jfs/t1/425638/19/15126/193408/69f34911F753e435e/00833203200c24a7.jpg,1000636393,底部散热;风冷无霜;超薄嵌入;独立双系统,100302149326,300+,100302149326
智国者【28W满屏结冰丨AI控温】手机散热器半导体结冰磁吸背夹式直播打游戏专用静音适用苹果平板华硕,98.90,智国者（WITGOER）京东自营旗舰店,陨星黑【旗舰款】28W功率+AI控温,1万+,jfs/t1/392027/10/20070/156373/698e88a7Fe98cc07a/0083320320d75592.png,1000280547,近7日人气商品;3万+人加购;近30日热销商品,100175303011,1万+,100175303011
利民（thermalright）Burst Assassin 120 SE CPU风冷散热器 AGHP4.0逆重力六热管 支持多平台 12CM风扇 BA120 SE,119.00,利民Thermalright京东自营旗舰店,BA120 SE6热管,1万+,jfs/t1/243145/4/21597/74711/67202ed5F05ae1dc2/b2291506e8d730fa.jpg,1000099731,148MM高度;HDT热管直触;镀镍六热管;高效散热;强劲风冷;逆重力设计;12CM大风扇;六管设计;兼容AM4;提升寿命,100110593363,1万+,100110593363
利民（thermalright）Peerless Assassin 120 SE ARGB 风冷散热器AGHP逆重力6热管逆转双C12C-S风扇PA120 SE ARGB,152.00,利民Thermalright京东自营旗舰店,PA120 SE ARGB,20万+,jfs/t1/378220/19/4157/87091/693cb8aeF52919ea8/e07c1f2eca99029e.jpg,1000099731,逆转设计;双风扇配置;高效散热;兼容多平台,100027515394,40万+,100027515394
VENIDER【2026最新款丨散热N0.1】笔记本散热器半导体压风制冷游戏本散热底座电脑支架适用联想戴尔外星人,187.80,VENIDER京东自营旗舰店,电竞玩家推荐】半导体压风秒降温,5万+,jfs/t1/387959/21/6469/277322/6969b20eF3e49516b/0083320320f238b7.jpg,1000463501,100档压风;多机兼容;轻薄适配;游戏本首选,100150082105,5万+,100150082105
