商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
梅捷焱龙6500XT 4G AMD RADEON RX 6500 XT电竞游戏专业独立显卡,899.00,梅捷（SOYO）京东自营旗舰店,【RX6500XT白】焱龙（双风扇）4G,500+,jfs/t1/399013/29/19022/148335/69b50658Fd6d2adb5/0083320320056123.jpg,1000416714,电竞游戏;模块化散热;4G高速显存,100267849278,900+,100267849278
影驰GeForce RTX 5060 魔刃V2 OC DLSS 4.5 电竞游戏设计剪辑直播办公娱乐NVIDIA英伟达显卡,2898.00,影驰京东自营旗舰店,【5060 魔刃V2 OC】游戏利器,2万+,jfs/t1/428189/40/1308/88953/69ef1e10Ff81b30bf/008332032051a49c.jpg,1000000308,金属背板;电竞游戏;设计剪辑;磁吸灯板,100261876706,2万+,100261876706
七彩虹（Colorful）战斧 GeForce RTX 5060 豪华版 8GB  GDDR7 DLSS 4 电竞光追游戏设计电脑显卡,2969.00,七彩虹京东自营旗舰店,【5060】战斧豪华版 8G,2万+,jfs/t1/396829/1/14831/118249/69a649b7F088e4333/008332032017fb00.jpg,1000000267,光追游戏;金属背板;三风扇散热;DLSS 4,100172853661,3万+,100172853661
电竞叛客 Geforce RTX 5060 X2W 8GB DLSS 4 电竞光追游戏AI设计电脑显卡,2849.00,京东免税会员购自营专区,,34,jfs/t1/401245/21/3798/203010/69a94ec9F0b905be0/00835a05a088f606.jpg,1000651007,智能启停;金属背板;自营全新正品;8GB大显存;光追游戏;AI设计加速;双风扇散热;高效能显卡,100306260120,,100306260120
磐镭(PELADN）RADEON RX 6500XT 4GB  GDDR6 6nm 台式机办公游戏剪辑高清电脑独立显卡,949.00,磐镭电脑办公京东自营旗舰店,【RX6500XT-4G】开天,1000+,jfs/t1/403574/6/14186/116740/69b916b7Fe82cf671/0083320320603730.jpg,1011655620,5万+人浏览;9千+人加购;200+人收藏,100173935123,2000+,100173935123
影驰GeForce RTX 5060 圣刃V2 OC DLSS 4.5 电竞游戏设计剪辑直播办公娱乐NVIDIA英伟达显卡,2898.00,影驰京东自营旗舰店,【5060 圣刃V2 OC】主流搭档,2万+,jfs/t1/425070/12/11346/87250/69ef1e0fF3c4a7e4a/0083320320607926.jpg,1000000308,DLSS 4.5;磁吸灯板;三风扇设计;AI本地部署;8GB显存;HDMI输出;设计剪辑专家;三风扇散热;电竞游戏利器,100198367807,2万+,100198367807
影驰GeForce RTX 5060 Ti 魔刃 OC 8GB GDDR7 DLSS 4.5 电竞游戏设计剪辑直播办公NVIDIA英伟达显卡,3358.00,影驰京东自营旗舰店,【5060 Ti 8G 魔刃】电竞利器,2万+,jfs/t1/423288/2/12056/100416/69ef1e12F82ad743b/0083320320f30268.jpg,1000000308,光追游戏;金属背板;磁吸灯牌;AI本地部署,100205226852,2万+,100205226852
华硕（ASUS）ATS RX7650GRE O8G  AMD RADEON RX7650GRE ATS 巨齿鲨电竞游戏显卡,2399.00,华硕京东自营旗舰店,,2000+,jfs/t1/397231/23/15324/2097507/69a8d9d5Fbdcb27b4/00834c74c7a4fa5e.png,1000000225,高效散热;高清HDMI;巨齿鲨外观;128bit位宽,100184553392,6000+,100184553392
影驰GeForce RTX 5070 金属大师 黑 OC 12GB GDDR7 DLSS 4.5 游戏设计AI本地部署NVIDIA英伟达显卡,5399.00,影驰京东自营旗舰店,【5070 黑金 OC】合金散热,5000+,jfs/t1/396517/10/2587/896707/698c74c0Ff2c0c45b/093b320320c86018.png,1000000308,智能启停;近30日人气商品;1千+人收藏,100156380403,1万+,100156380403
华硕（ASUS）DUAL GeForce RTX 5050 O8G 电竞游戏显卡,2499.00,华硕京东自营旗舰店,【Dual 5050】,200+,jfs/t1/330541/40/26194/77699/68f870ccF7a67af5d/6510fb96403e9aec.jpg,1000000225,高速数据传输;PCIe 5.0;RTX5050芯;RTX5050,100248664144,400+,100248664144
