商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
HKC 2K 220Hz高刷电竞显示器,799.00,HKC京东自营旗舰店,爆款/27英寸/2K/220Hz/实力护眼,100万+,jfs/t1/418704/24/20217/148492/69e71c5bF28dedbe3/0083320320e3a3e8.jpg,1000000473,硬件低蓝光;HDR400;定制游戏模式;FreeSync,100194974431,100万+,100194974431
KTC 27英寸2K 220Hz 旋转升降 内置音箱FastIPS显示屏HDR400硬件护眼三角洲电脑显示器H27T22S-3 Pro,799.00,KTC京东自营旗舰店,新品/27英寸2K/220Hz/内置音响,50万+,jfs/t1/418991/17/9830/180857/69df0b1cFae4918d0/0083320320efc019.png,1000394329,热卖榜TOP1;已销50万台;100%好评;硬件护眼,100210120007,50万+,100210120007
JOYZL 显示器21.5英寸1k60mhz电脑显示器（窄视角）VGA+HDMI,239.00,JOYZL商显京东自营旗舰店,21英寸1K60mhz显示器（VGA+HDMI),1万+,jfs/t1/268544/36/10140/102274/677f3c36F70bf1029/210257b7dfa8da07.png,1000428622,200人已回购;900+人收藏;7千+人已买,100149114232,1万+,100149114232
KVL京东联名100hz显示器,299.00,KVL京东自营旗舰店,【京东联名】23.8英寸/100hz,10万+,jfs/t1/395996/17/19326/64387/69a7a1e3F026ffad0/00833e83e8321278.png,1000458757,直面屏设计;京东联名;护眼办公;HDMI接口,100316666846,10万+,100316666846
爱国者aigo15.6英寸便携显示器便携屏 支架显示屏扩展屏 电脑显示器手机笔记本副屏Type-C一线通,294.99,爱国者显示器京东自营旗舰店,15.6英寸/原装A+好屏/便携屏爆款,5万+,jfs/t1/318018/38/7116/148007/68447555Feb706b4a/fb98ad6b6d31a175.jpg,1000557070,20万+人加购;硬件低蓝光;500人已回购,100185808780,7万+,100185808780
蜂王电竞24.5英寸144Hz电竞显示器24英寸办公1K高清屏幕台式电脑显示屏游戏100Hz笔记本扩展屏HDMI副屏双屏,349.00,蜂王电竞京东自营旗舰店,【爆款】24.5英寸144Hz电竞办公,5万+,jfs/t1/422977/33/21196/167980/69f07f88Fa498b5e6/00833203200b4a14.png,1000487060,电竞办公高刷;多场景适用;高刷流畅;游戏利器,100295755304,6万+,100295755304
AOC 23.8英寸 创新QD量子膜 260Hz广色域 1ms硬件低蓝光 三角洲240Hz 游戏电竞显示器 破军系列24G51Z,589.00,AOC京东自营旗舰店,23.8英寸260Hz/创新QD量子膜/1ms,100万+,jfs/t1/422742/6/16467/136628/69f016c2F0125a45c/00833203206dd6ec.jpg,1000000715,6轴色彩特调;三面微边;硬件低蓝光;快速液晶1ms,100287955796,100万+,100287955796
小米（MI）REDMI 27英寸显示器 144Hz 300nits亮度 专业级色准低蓝光爱眼电竞电脑办公显示器屏 A27 2026款,549.00,小米京东自营旗舰店,【新】27英寸/IPS技术/144Hz高刷,50万+,jfs/t1/389248/22/15862/116071/69845186F897372a2/0083320320ed04ed.jpg,1000004123,低蓝光护眼;电竞办公两用;300nits亮度;三微边设计,100260541684,90万+,100260541684
爱国者aigo16英寸便携式显示器 电竞游戏120Hz 扩展屏笔记本电脑副屏 电竞办公炒股电脑扩展屏一线通,489.00,爱国者显示器京东自营旗舰店,16英寸/120Hz高刷/1200P/支架款,5万+,jfs/t1/419626/23/19848/141211/69e74f24F56b6e729/0083320320341ba6.png,1000557070,200人已回购;5万+人加购;1千+店铺粉丝浏览,100185808842,7万+,100185808842
KTC 24.5英 260Hz显示器,586.00,KTC京东自营旗舰店,爆款/24.5英寸/260Hz/升降旋转,50万+,jfs/t1/410502/31/14555/490615/69ce3dcbF5ff75e63/0083320320778796.png,1000394329,HDR400;升降旋转;升降旋转底座;原生240Hz,100201143224,50万+,100201143224
长虹×京东联名 电脑显示器21.45英寸 120Hz高刷 350nits亮度 可壁挂 超薄节能低蓝光爱眼显示屏 22FA,329.00,长虹显示器京东自营旗舰店,22FA【京东联名】 21.45英寸120Hz,2万+,jfs/t1/420436/12/4795/209998/69df3cd8Fe92a8b3d/0083800800027097.jpg,1000104189,120Hz;超薄机身;低蓝光爱眼;节能环保;120Hz流畅;直面屏设计;16VA响应;全高清画质;低蓝光护眼;平面接口,100245006077,5万+,100245006077
AOC 24.5英寸 180Hz高刷护眼办公 IPS HDR G-SYNC认证 出厂校色 低蓝光不闪 电竞电脑显示器 25G51F,529.00,AOC京东自营旗舰店,[新]24.5英寸180Hz/G-SYNC认证,100万+,jfs/t1/420642/10/12058/133660/69e73febFad8b6816/0083320320da13d3.jpg,1000000715,,100341770316,100万+,100341770316
海信23.8英寸 120Hz高刷 硬件低蓝光 护眼 IPS技术 广色域 三微边 办公显示屏显示器 24N3G-PRO,439.00,海信京东自营旗舰店,23.8'/120Hz/硬件低蓝光/IPS硬屏,5万+,jfs/t1/406885/39/13898/78942/69c246dfF26e347c8/0083320320be979a.jpg,1000324421,25万+人浏览;2千+人收藏;广色域,100198376828,7万+,100198376828
小米（MI）REDMI 23.8英寸显示器 144Hz IPS技术 专业级色准 低蓝光 电竞电脑办公显示器显示屏 A24 2026款,449.00,小米京东自营旗舰店,【新】23.8英寸/144Hz/IPS技术,50万+,jfs/t1/399709/40/17411/112671/69afcf27Fe80ed183/0083320320a19b68.jpg,1000004123,ΔE< 1色准;高清显示;低蓝光护眼;电竞利器,100260541648,90万+,100260541648
HKC 240Hz高刷电竞小金刚,569.00,HKC京东自营旗舰店,爆款/23.8英寸/240Hz/HDR400,100万+,jfs/t1/425660/29/884/161802/69e97bb0F2b0dc7de/0083320320c3b6ac.jpg,1000000473,硬件低蓝;硬件低蓝光;FreeSync;HDR400,100150580005,100万+,100150580005
HKC 23.8英寸180Hz高刷IPS面板99%sRGB广色域144Hz低蓝光电竞游戏办公HDMI接口液晶电脑显示器 战狼V5,519.00,HKC京东自营旗舰店,23.8英寸/180Hz/1080P/HDMI接口,10万+,jfs/t1/408048/21/15554/115132/69c63b52F89dcf29a/0083320320769797.jpg,1000000473,99%sRGB;2mm微边框;180Hz高刷;IPS炫彩屏;HDMI接口;低蓝光护眼;广色域99%,100325480932,20万+,100325480932
JOYZL21.5英寸高清HDMI电容触摸显示器（HDMI接口）,399.00,JOYZL商显京东自营旗舰店,21.5英寸电容触摸显示器（HDMI）,1万+,jfs/t1/298393/36/9925/12060/684a6774F5451009c/713abf31e1b20aeb.png,1000428622,100+人收藏;300+人已买;1万+人浏览,100242734076,1万+,100242734076
微星（MSI）黑刃X24 MAG 245F X24 23.8英寸240Hz 莱茵护眼认证 快速IPS 支持HDR 0.5ms 游戏电竞显示器显示屏,519.00,微星京东自营旗舰店,"黑刃X24 23.8""240Hz/0.5ms/HDR10",5万+,jfs/t20280429/422886/39/16349/186226/69f2f343Fe9bb01cd/0a023203203bc9b8.jpg,1000000266,三面微边;广色域显示;IPS技术;240Hz高刷,100264211366,8万+,100264211366
HKC 27英寸2K高清300Hz超频FastIPS旋转升降电脑HDR400硬件低蓝光电竞游戏HDMI2.1显示器G27H4Plus,1198.00,HKC京东自营旗舰店,热销/27英寸/2K/300Hz/旋转升降,100万+,jfs/t1/410467/2/2953/152396/69c638fcF6651dcf7/0083320320314adb.jpg,1000000473,硬件低蓝光;HDR400;旋转升降支架;告别掉帧防撕裂,100190910995,100万+,100190910995
泰坦军团 27英寸 2K 升级235Hz HDR500nit高亮版 硬件低蓝光 专业电竞调校 出厂校色 三角洲显示器P2710R2+,820.00,泰坦军团京东自营旗舰店,热销27英寸 2K 升级235Hz HDR500,50万+,jfs/t1/417894/36/14983/153052/69e0949fF141e57a9/008332032080e1e2.jpg,1000169144,三面微边;硬件级低蓝光护眼;出厂校色;硬件低蓝光,100284299896,80万+,100284299896
华硕MB169CK 16英寸FHD便携式显示器 60Hz刷新率 三脚架孔Type-C电脑笔记本副屏switch手机PS5扩展屏,799.00,华硕京东自营旗舰店,直播扩展屏/15.6英寸IPS/Type-C,1000+,jfs/t1/416454/2/1720/104130/69d49a4aFd2f417f2/00833203208ae36b.jpg,1000000225,2万+人加购;仅需一根连接线;滤蓝光,100188570954,2000+,100188570954
华为MateView SE 27英寸电脑显示器 2K分辨率  100Hz高刷 /IPS全面屏/300nit高亮度 标准版,699.00,华为京东自营旗舰店,27英寸/2K/IPS/100Hz/ 标准版,20万+,jfs/t1/396873/25/11975/37688/69a29870Fba7cdafb/00833203209f8d67.jpg,1000004259,多屏同色;直面屏设计;HDMI接口;能效升级,100150942740,50万+,100150942740
AOC 27英寸2K 210Hz 爱瞳圆偏光 硬件+AI动态低蓝光不闪护眼 FastIPS 典雅白电竞显示器 Q27G41LE/WS,949.00,AOC京东自营旗舰店,"27""2K210Hz/圆偏光+动态低蓝护眼",100万+,jfs/t1/425265/13/9721/82669/69ef1681F15736f73/0083320320f8533d.jpg,1000000715,,100261478569,90万+,100261478569
泰坦 24.5英寸 260Hz高刷电竞屏,546.00,泰坦军团京东自营旗舰店,爆款 24.5英寸 260Hz 硬件低蓝光,50万+,jfs/t1/416827/18/19162/188658/69e094a0F476cbecc/00833203206a34ae.jpg,1000169144,高刷流畅;三面微边;400尼特高亮度;硬件级低蓝光护眼,100166141343,80万+,100166141343
爱国者aigo15.6英寸便携显示器扩展显示屏电脑显示器手机笔记本 PS4/5 副屏Type-C一线通,388.00,爱国者显示器京东自营旗舰店,15.6英寸/原装A+好屏/高级皮套款,5万+,jfs/t1/425439/28/2482/162113/69eb1d98F83c1b19a/00833203202de899.png,1000557070,,100185808828,7万+,100185808828
LG G6 27英寸2K显示器200Hz 游戏电竞显示器 FastIPS HDR400 1ms(GtG) 高刷电脑显示屏 27G610A,1099.00,LG显示器京东自营旗舰店,"新27""2K/200Hz/IPS(Fast)/HDR400",2万+,jfs/t1/428854/5/5198/396800/69f38af1F6ded4dbb/0083800800cdb4c1.jpg,1000000515,HDR400;200Hz高刷;一级能效;一级能效省电;旋转升降底座;1ms响应速度;200Hz高刷新;2K高清画质,100325898428,3万+,100325898428
联想斗战者27英寸2K210Hz电竞屏,698.00,联想京东自营旗舰店,"爆品27""/2K超清/原生200Hz",2万+,jfs/t1/401333/9/15389/279644/69b27f66F57c11892/08ee3203206d292e.jpg,1000000157,三面微边框;暗区突围;2K+双色域;IPS广视角,100285762646,3万+,100285762646
AOC 23.8英寸2K 260Hz FastIPS 快速液晶1ms 硬件低蓝光 三角洲游戏电竞电脑显示器 新战神Q24G41ZE,1099.00,AOC京东自营旗舰店,23.8英寸2K260Hz/HDR400,100万+,jfs/t1/422590/33/15808/139689/69ef32e5F505037ff/008332032065f93c.jpg,1000000715,三面微边框;广色域显示;6轴色彩校准;快速液晶1ms,100288699490,100万+,100288699490
