商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
爱国者（aigo）A15 黑色 台式电脑主机箱  支持ATX主板/USB3.0/左侧透/240冷排/宽体机箱,109.00,爱国者DIY京东自营旗舰店,A15黑色 ATX机箱,20万+,jfs/t1/124153/36/2293/352919/5ec49e49E8553ba21/7020ba2fa45b34fc.jpg,1000000416,超高性价比;散热优越;宽体设计;高兼容性,100006587871,30万+,100006587871
长城（Great Wall）冰霜X3W白色电脑机箱（MATX/360水冷位/磁吸翻门/细网孔金属面板/U3/9风扇位/五槽PCI/兼容5080）,157.90,长城 GreatWall 京东自营旗舰店,冰霜X3W【360水冷位 5080显卡】,20万+,jfs/t1/190782/30/36955/147807/64ed5b04F52aaa2f3/9bd5b159cb9bd2c9.jpg,1000007264,灵活扩展;显卡支持;风扇位多;五槽PCI,100064697452,30万+,100064697452
AOC震天弓CG455白色 ATX台式电脑海景房机箱 一体式曲面弯玻/10风扇位/360水冷/左右分仓/快拆设计,275.00,AOC机电散京东自营旗舰店,CG455白色【ATX 一体式弯玻】,1万+,jfs/t1/227272/27/36389/115887/675ed7caF2b9a1b98/7a6c97588835410a.jpg,1000487958,10万+人浏览;3千+人已买;1千+人收藏,100143808346,1万+,100143808346
AOC机箱CG420B黑色游戏办公台式电脑侧透主机箱支持ATX主板/兼容360水冷/10风扇位/7槽PCI/兼容5080,155.00,AOC京东自营旗舰店,CG420B【ATX 兼容360水冷】,1万+,jfs/t1/403394/1/854/126257/69b0db6bF57bc884b/00833203208e58df.jpg,1000000715,7槽PCI;兼容360水冷;侧透设计;10风扇位,100239369204,1万+,100239369204
先马（SAMA）朱雀air 台式电脑主机箱 前板铁网/双面散热孔/6个风扇位/宽体五金/支持ATX主板240水冷竖装显卡,139.00,先马SAMA京东自营旗舰店,【透气铁网 高效散热】朱雀 AIR,10万+,jfs/t1/422290/23/7199/135763/69e5e5b0F91beff2f/00833203204088b5.jpg,1000000423,宽体设计;简约风格;高效通风;出色兼容,100025663604,10万+,100025663604
长城（Great Wall）冰霜X3黑色电脑机箱（MATX/360水冷位/磁吸翻门/细网孔金属面板/U3/9风扇位/五槽PCI/兼容5080）,157.90,长城 GreatWall 京东自营旗舰店,冰霜X3【360水冷位 磁吸翻门】,20万+,jfs/t1/221102/11/24782/132919/64daea83F97f5fa72/da3372be063413d9.jpg,1000007264,360水冷位;兼容4080;五槽PCI;空间优化,100066922137,30万+,100066922137
航嘉（Huntkey）S960暴风雪X白色全景版海景房机箱（双面钢化玻璃/左右分区/360水冷/9风扇位/MATX主板）,169.00,航嘉 Huntkey 京东自营旗舰店,S960暴风雪X白色全景版,20万+,jfs/t1/224918/15/6922/112774/65702f1fFe36bf96f/b56b31ee19610eac.jpg,1000000265,全景视觉享受;高效散热系统;360水冷支持;9风扇位,100080558250,20万+,100080558250
爱国者（aigo）星璨岚 小岚黑色 游戏电脑台式主机箱 垂直风道风冷/M-ATX主板/240水冷/270°海景房/5090显卡,199.00,爱国者DIY京东自营旗舰店,星璨小岚黑色 MATX海景房,10万+,jfs/t1/228574/7/1205/108389/6540a19fF1a51d01c/42512489548912a1.jpg,1000000416,270°海景房;四面快拆;水冷系统;高效散热,100070489290,10万+,100070489290
AOC机箱CG421B黑色电竞游戏台式电脑主机箱支持ATX主板/兼容360水冷/10风扇位/7槽PCI/兼容5080,165.00,AOC京东自营旗舰店,CG421B【ATX 兼容360水冷】,1万+,jfs/t1/378725/11/12267/129900/694ddc50F151d22db/686c036ec172443e.jpg,1000000715,4千+店铺粉丝浏览;6万+人浏览;300+人收藏,100239369140,1万+,100239369140
长城（Great Wall）冰霜X7黑色电脑机箱（背插主板/磁吸金属面板/0.75mm厚五金/四面便拆装/360水冷位/9风扇位/5090）,217.00,长城 GreatWall 京东自营旗舰店,冰霜X7黑【磁吸面板 支持5090】,20万+,jfs/t1/302378/37/17819/116325/68662929F2eed61e6/2edcdb5c3183c28e.jpg,1000007264,五金厚实;便拆设计;四面便拆;磁吸金属面板,100236471346,30万+,100236471346
