搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
DDR4 8G 内存 自营,忆捷（EAGET）8GB DDR4 3200Mhz赫兹 台式机内存条 电脑内存马甲条 适配游戏电竞黑神话悟空 PS40系列,289.00,忆捷存储京东自营旗舰店,【DDR4 3200】电竞散热款,2000+,jfs/t1/362089/19/9619/154383/69241d72F5070cb9b/44811f190c38ca9d.jpg,1000000335,6万+人浏览;近7日人气商品;近30日人气商品,100204284586,4000+,100204284586
DDR4 8G 内存 自营,联想（Lenovo）8GB DDR4 2666 笔记本内存条,379.00,联想京东自营旗舰店,笔记本 DDR4 2666,10万+,jfs/t1/385998/34/20126/122171/697affb8Fda038d1a/00833203203b82fe.jpg,1000000157,稳定性强;全国联保;兼容广泛;稳定兼容,100009894765,20万+,100009894765
DDR4 8G 内存 自营,金百达16G(8GX2)3200台式内存条,659.00,金百达京东自营旗舰店,【DDR4 3200】银爵 电竞散热款,100万+,jfs/t1/407057/19/11170/131564/69c4af5bFa95e9d63/0083320320436a70.jpg,1000076001,升级空间大;稳定性能;游戏电竞;双通道设计,100014056864,100万+,100014056864
DDR4 8G 内存 自营,光威（Gloway）8GB DDR4 3200 台式机内存条 天煞 马甲条 严选颗粒 CL22 枪灰色 intel专用条 AI电脑配件升级,279.00,光威京东自营旗舰店,3200 C22天煞 精选颗粒Intel专用,50万+,jfs/t20280429/426052/11/13008/126640/69f30819F88bb7db4/0a02320320d8e6ad.jpg,1000077382,严选颗粒;马甲条设计;Intel专用;8GB大容量,100205435779,100万+,100205435779
DDR4 8G 内存 自营,长城（Great Wall）8GB DDR4 3200频率 台式机内存条马甲条 Intel专用条龙鳞黑金系列,279.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】黑金 Intel专用,2万+,jfs/t1/420658/35/2058/65991/69de0e87F86027794/0083320320c52dfd.jpg,1000468648,4万+人加购;近30日人气商品;10万+人浏览,100150967676,3万+,100150967676
DDR4 8G 内存 自营,光威 DDR4 8G 笔记本内存条,369.00,光威京东自营旗舰店,3200 C22 战将 精选颗粒,20万+,jfs/t20280429/429818/13/1106/143315/69f3081aFa70fc96c/0a02320320f445d1.jpg,1000077382,国产优选;高频内存;性能升级;严选颗粒,100018010320,30万+,100018010320
DDR4 8G 内存 自营,七彩虹（Colorful）8GB DDR4 2666 台式机内存 普条系列 C19 openclaw兼容,299.00,七彩虹京东自营旗舰店,【2666】普条系列(C19),20万+,jfs/t1/425187/13/10876/102968/69f01771F04dc28e6/0083320320077848.jpg,1000000267,长效耐用;高效处理;稳定兼容;低延迟,100031218382,30万+,100031218382
DDR4 8G 内存 自营,联想（Lenovo）8GB DDR4 3200 笔记本内存条,379.00,联想京东自营旗舰店,笔记本 DDR4 3200,10万+,jfs/t1/386607/34/22218/120974/697affb4Fd7ec2eaf/00833203206d5a37.jpg,1000000157,严选颗粒;8GB 单条;稳定兼容;高频性能;8GB容量;拒绝蓝屏;DDR4频率;轻松升级;全国联保;极速运转,100010727053,20万+,100010727053
DDR4 8G 内存 自营,长城（Great Wall）8GB DDR4 3200频率 台式机内存条马甲条 龙鳞铂金系列,349.00,长城（Great Wall）存储京东自营旗舰店,【DDR4 3200】铂金 电竞款,2万+,jfs/t1/415922/5/6710/63718/69d60f3eFec166140/008332032053ba0f.jpg,1000468648,稳定兼容;500+店铺粉丝浏览;1万+人加购,100150967662,3万+,100150967662
DDR4 8G 内存 自营,奔跑者（Runner）8GB DDR4 3200 台式机内存条 瞬影 马甲条 CL18 黑色,259.00,奔跑者（RUNNER）京东自营旗舰店,瞬影【D4 3200】 黑色,200+,jfs/t1/427054/22/6622/121402/69f08135F281fe9f8/0083320320c7acc4.jpg,1032303420,,100256858353,700+,100256858353
