搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
风冷散热器 4热管 自营,零度世家UT75下压式CPU风冷散热器 热管直触 适用LGA1200/LGA1700/AM4/AM5 ITX机箱高度77mm 八热管 黑色,169.00,京东免税会员购自营专区,八热管 黑色,14,jfs/t1/382027/38/2780/84324/69450275F78d38955/96d7a569472e4757.jpg,1000651007,超薄散热;设计精巧;下压式;性能风扇,100310740014,,100310740014
风冷散热器 4热管 自营,利民（thermalright）Assassin X 120 Refined SE 风冷散热器 AGHP逆重力四热管支持 12CM风扇 AX120 R SE,68.40,利民Thermalright京东自营旗舰店,AX120R SE 青春版,50万+,jfs/t1/141296/15/47077/70147/6720337cF06d3a6b4/7033e308273480ee.jpg,1000099731,逆重力设计;热管直触;阳极喷砂黑顶盖;高效散热,100014366815,60万+,100014366815
风冷散热器 4热管 自营,九州风神（DEEPCOOL）玄冰400性能版黑色CPU风冷散热器/升级塔体/创新聚风环风扇/热管偏置不挡内存/多平台支持,79.00,九州风神 京东自营旗舰店,玄冰400性能版-全新升级,100万+,jfs/t1/413127/29/942/103173/69cb2b35F3c867be3/0083320320390509.jpg,1000000461,兼容AM4;不挡内存;热管偏置;聚风环扇;升级塔体,100239607703,100万+,100239607703
风冷散热器 4热管 自营,乔思伯（JONSBO）CR-1400E彩色版 CPU风冷散热器(4热管/七彩光效/PWM风扇/127mm/多平台/附硅脂),55.00,乔思伯京东自营旗舰店,CR-1400E彩色版丨四热管,20万+,jfs/t1/406917/38/18202/104195/69c3a34aF7143fd3a/0083320320d649af.jpg,1000007266,127mm高效;PWM风扇;多平台兼容;简易扣具安装,100078462948,20万+,100078462948
风冷散热器 4热管 自营,超频3（PCCOOLER）红海H4炫彩 白色CPU风冷散热器（4热管/PWM风扇/顶盖发光/支持12/13代1700/AM4/AM5/133mm高度）,69.00,超频三京东自营旗舰店,红海H4 炫彩版白色,2万+,jfs/t1/227217/38/21715/99864/6674e5faF6d12f723/ca7ba5b20bae5ee6.jpg,1000000670,2千+店铺粉丝浏览;4热管;5万+人浏览,100079826274,3万+,100079826274
风冷散热器 4热管 自营,大水牛（BUBALUS）T48 4热管CPU风冷散热器（支持i系多平台/9CM风扇/附带硅脂/锁具式/支持LGA115x/1700） ,44.90,大水牛京东自营旗舰店,T48(4热管/intel1700/9CM),5万+,jfs/t1/179798/29/30393/102709/63747d8eE14d29533/410a90d2fccc3d7b.jpg,1000000707,附带硅脂;高品质风扇;高效散热;支持1700,100048145129,9万+,100048145129
风冷散热器 4热管 自营,瓦尔基里AQ125 ARGB BLACK VK CPU风冷散热器  逆重力四热管直触 12CM风扇 支持LGA1700 AM5,79.00,瓦尔基里（VALKYRIE）京东自营旗舰店,AQ125 ARGB BLACK,1万+,jfs/t1/292565/21/7499/59507/682865dbF065cf26f/ca1876642de37f8c.jpg,1000421158,AM5支持;四热管直触;支持AM5;逆重力设计;炫彩灯光;12CM大风扇;ARGB灯效,100176831119,1万+,100176831119
风冷散热器 4热管 自营,瓦尔基里（VALKYRIE）AL125 WHITE VK CPU风冷散热器 4热管 1.54吋LCD 支持LGA1700 AM5 ARGB光效 ,159.00,瓦尔基里（VALKYRIE）京东自营旗舰店,AL125 WHITE,2万+,jfs/t1/310723/25/11193/63413/68558316Ffedce940/80c4005fe7fab22b.jpg,1000421158,全平台扣具;LCD显示屏;全铜四热管镀镍;兼容多平台;高效散热;创新散热方案;高性能冷却;ARGB光效;兼容AM5;静音运行,100127602896,3万+,100127602896
风冷散热器 4热管 自营,利民（thermalright）Assassin Spirit 120 V2 PLUS 刺灵 CPU风冷散热器 AGHP逆重力四热管 双风扇 AS120 V2 PLUS,86.00,利民Thermalright京东自营旗舰店,AS120 V2 PLUS(4热管 双风扇）,10万+,jfs/t1/119777/27/49159/97420/67202fc7F3511511d/4eea86c1b167182b.jpg,1000099731,纯铜镀镍热管;双平台金属扣具;双风扇升级版;支持十五代;兼容广泛;双风扇驱动;逆重力设计;支持多平台;稳压性能;逆重力布局,100006880794,10万+,100006880794
风冷散热器 4热管 自营,瓦尔基里(VALKYRIE）AQ125 BLACK VK CPU风冷散热器  逆重力四热管直触 12CM风扇 支持LGA1700 AM5,72.00,瓦尔基里（VALKYRIE）京东自营旗舰店,AQ125 BLACK,1万+,jfs/t1/290470/2/7420/55524/68286103F6c3d6fa6/d3c0e4c285f136fe.jpg,1000421158,四热管散热;12CM大风扇;一体式顶盖设计;兼容AM5,100229576860,1万+,100229576860
