搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
RTX 5090 自营,I9-14900K/RTX5090/PRO6000塔式工作站模型推理深度学习大模型服务器,12999.00,赋欣服务器京东自营旗舰店,I9 14900K|1T固态|4T机械,6,jfs/t1/410184/8/4420/125008/69c5e230F5a5d1e6e/0083320320198132.jpg,1030968284,上门部署;全国售后保障;大模型;深度学习,100253066025,,100253066025
RTX 5090 自营,神舟（HASEE）【RTX5090】战神T12 Pro 14代酷睿i9 16英寸游戏本笔记本电脑(32G 1TB 2.5K 300HZ),19999.00,神舟电脑京东自营旗舰店,RTX5090,5000+,jfs/t1/425115/30/11631/110288/69f16a09Fcda66258/008332032076ffa4.jpg,1000000156,高色域屏幕;大容量存储;300HZ高刷;超大内存,100199460266,1万+,100199460266
RTX 5090 自营,七彩虹（Colorful）iGame GeForce RTX 5090 D v2 Advanced 24GB GDDR7 DLSS 4 电竞游戏 OpenClaw小龙虾电脑显卡,20499.00,七彩虹京东自营旗舰店,【5090 D v2】 AD,2000+,jfs/t1/340143/16/24700/139769/68fb30f7F07802589/6ba955c5acced819.jpg,1000000267,三风扇散热;DLSS 4;光追游戏;风机骨架,100200850043,3000+,100200850043
RTX 5090 自营,努比亚红魔游戏本16Pro 2026国家补贴15%/政府补贴 AI游戏本电脑 笔记本电脑(U9 275HX 64G 2TB RTX5090),29999.00,红魔京东自营旗舰店,红魔游戏本16Pro 2026 U9 275HX,1000+,jfs/t1/429229/9/5909/95329/69f59769Fad0447ca/00833203208a7a92.jpg,1000480226,高性能旗舰电竞;金属质感;高屏占比;红魔生态互联,100283740442,1000+,100283740442
RTX 5090 自营,超聚变X3 8000买国产超聚变工作站送预装open claw龙虾i9-14900K/64G/1T+4T/RTX5090/定制,54999.00,超聚变企业业务京东自营旗舰店,i9-14900K（24核，6.0GHz）,14,jfs/t1/388356/38/7024/41811/696bed57F7e675c68/065c3203208d0d21.jpg,1000465528,京东自营;咨询定制;送预装,100236647313,,100236647313
RTX 5090 自营,机械师曙光18Pro【RTX5090 国家补贴】18英寸旗舰AI游戏本笔记本电脑(酷睿Ultra9 275HX 240Hz 32G 2T),25999.00,机械师京东自营旗舰店,RTX5090,2万+,jfs/t20280429/425976/34/13720/187636/69f319bbFb3e3b827/0a023203200a951a.jpg,1000013681,双网口双雷电口;性能释放;AI算力强;屏幕大亮,100192262366,3万+,100192262366
RTX 5090 自营,七彩虹（Colorful）【国家补贴】将星X18 Max 18英寸游戏本笔记本电脑 (U9-275HX 32G 2T RTX5090 4K 200Hz ),25919.00,七彩虹（Colorful）电脑京东自营旗舰店,RTX5090,1万+,jfs/t1/402262/18/10827/153017/69b2861aFe2578edf/00833203202a21b4.jpg,1000408422,32GB大内存;200Hz刷新;电竞高刷;大屏畅玩,100149376289,1万+,100149376289
RTX 5090 自营,华硕ProArt创16 AI全能笔记本电脑 锐龙AI 9 HX370 RTX5090 64G 2T 4K 120Hz 双层触控OLED,35999.00,华硕京东自营官方旗舰店,ProArt创16,2000+,jfs/t1/423618/35/21106/139637/69f2fa04Fe47d9421/0083320320a9f26a.jpg,1000000182,,100254579109,3000+,100254579109
RTX 5090 自营,赋欣【FC500T】I9-14900K/RTX5090D塔式工作站模型推理深度学习模型服务器支持deepseek/openclaw部署,36599.00,赋欣服务器京东自营旗舰店,I9 14900K|1T固态|4T机械,6,jfs/t1/421338/26/9957/438842/69e59454Ff501257f/025832032078d8f0.png,1030968284,上门部署;全国售后保障;AI深度学习,100337686536,,100337686536
RTX 5090 自营,微星（MSI）泰坦18 AI 2025 18英寸游戏本笔记本电脑(Ultra9-275HX 满血RTX5090 32G 1TB 2.5K/240Hz)国家补贴,28999.00,微星游戏本京东自营旗舰店,泰坦18 AI 2025,1000+,jfs/t1/396003/20/10221/257568/699d6effF52c8ef18/00833e83e8ea8088.jpg,1000000653,RTX5090显;Ultra9;AI算力强;2K高分辨,100180638205,2000+,100180638205
