搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
固态硬盘 250G 自营,奥睿科（ORICO）256G SSD固态硬盘 SATA3.0接口 铝合金外壳抗干扰 台式机笔记本电脑 AI电脑配件,299.00,奥睿科（ORICO)京东自营旗舰店,S2系列 合金外壳 稳定兼容,500+,jfs/t1/416011/17/14639/123877/69dac7a5F2a0baa10/065c320320f09bec.jpg,1000000268,500+人加购;超10万人店内购买;SATA3.0,100334378070,700+,100334378070
固态硬盘 250G 自营,七彩虹（Colorful）250GB SSD固态硬盘 SATA3.0接口 SL500系列,288.00,七彩虹京东自营旗舰店,SL系列主流 - SATA3.0接口,50万+,jfs/t1/426403/10/9906/68122/69f2bffcF564316fb/0083320320bfa85c.jpg,1000000267,轻巧便携;500MB/S;高可靠性;快速传输;稳定性能;低功耗设计;应用广泛;低延迟体验;高效存储;易于安装,100016939884,70万+,100016939884
固态硬盘 250G 自营,GEIL金邦 250G SSD固态硬盘 SATA3.0接口 台式机笔记本通用 高速500MB/S A3系列,289.00,GEIL存储京东自营旗舰店,A3系列 SATA,2万+,jfs/t1/410699/24/2611/126926/69c6391eF7f9bc710/00833203206d6e9d.jpg,1000443886,高清视频;游戏办公;稳定兼容;SATA3.0;超快响应;极速读写;快速读写;稳定性能;大容量存储;高速500MB,100052217992,6万+,100052217992
固态硬盘 250G 自营,闪迪（SanDisk）250GB SSD固态硬盘2400MB/s读速PLUS性能加强版M.2接口TLC高速NVMe协议PCIe3.0笔记本电脑扩容2280,499.00,闪迪（Sandisk）固态硬盘京东自营旗舰店,PLUS加强版【效率提升PCIe3.0】,20万+,jfs/t1/423485/4/21098/131004/69f2fd5aF323ee19a/0083320320f28896.jpg,1000594591,四通道设计;高兼容性;长寿命;好散热3年质保,100070894060,20万+,100070894060
固态硬盘 250G 自营,忆捷（EAGET）256GB固态硬盘sata3.0读速高达550MB/s台式机/笔记本通用SSD精选原厂颗粒S205L,279.00,忆捷存储京东自营旗舰店,【256GB】热销款SATA3.0(550MB/s,5000+,jfs/t1/427796/20/2771/153557/69efd4e2Fb06ec4eb/065c32032032fb52.jpg,1000000335,近7日人气商品;店铺被20万人种草,100262276939,1万+,100262276939
固态硬盘 250G 自营,爱国者（aigo）250GB移动固态硬盘 (PSSD) S8 Type-c USB3.2 读速高达520MB/s 手机直连 办公必备存储硬盘,459.00,爱国者存储京东自营旗舰店,纤薄便携|直连手机520MB/s,10万+,jfs/t1/409822/26/8400/127958/69c63c76F40ac6474/0083320320f86c77.jpg,1000002519,直连手机;TypeC接口;读520M/s;高效存储;便携设计;微信备份;手机直连;Type-C接口;快速读写;灵感无限,100005813732,10万+,100005813732
固态硬盘 250G 自营,惠普 250G Type-C接口小巧便携高速SSD移动固态硬盘 USB3.2落日橙读速420MB/s 手机直连笔记本外接,469.00,惠普（HP）U盘京东自营旗舰店,【落日橙】高速420MB/S,100+,jfs/t1/410881/38/12850/111656/69cc731fF669af859/0083320320717a19.jpg,1000188027,手机电脑两用;轻薄便携;直连笔记本;420MB/s;USB3.2;Type-C接口;高速传输;小巧便携;电脑通用;数据备份,100233449121,200+,100233449121
固态硬盘 250G 自营,GEIL金邦 250GB SSD固态硬盘 M.2接口PCIe 3.0（NVMe协议）台式机笔记本硬盘 高速1500MB/S P3A系列,369.00,GEIL存储京东自营旗舰店,P3A PCIe3.0【高性价比】,5万+,jfs/t1/136804/1/41582/50083/65d46f4eFd0538b8a/860e6df965a3d7b4.jpg,1000443886,高性价比;精挑颗粒;高速读取;M.2接口;笔记本适用;250GB容量;超高效能;严选颗粒;卓越稳定;高效读写,100056630735,7万+,100056630735
固态硬盘 250G 自营,铨兴（QUANXING）256GB SSD固态硬盘 TLC颗粒 SATA3.0接口 读速高达500MB/s 台式机/笔记本通用 S101,299.00,铨兴（QUANXING）京东自营旗舰店,S101·TLC颗粒·满血旗舰版,2万+,jfs/t20280419/424163/11/5/110631/69e59c9eF3761047b/0a023203209428c1.jpg,1000470711,900+人已买;6千+人加购;多系统兼容,100069090400,5万+,100069090400
固态硬盘 250G 自营,PNYCS900 系列SSD固态硬盘 SATA3.0接口250GB,299.00,必恩威（PNY）京东自营旗舰店, CS900 SATA3.0 250GB,5000+,jfs/t1/77842/10/25278/106819/66a30740F6b1340a3/971ab7d4ad208528.jpg,1000005582,智能存储;便捷升级;超高读速;稳定可靠;迅速响应;持久耐用;小巧节省;快速提升;性能加倍;大幅提速,100099431410,1万+,100099431410
